A,Fission Yield,Z,E,N
66,8.5300072e-10,90,7.1052000253,137
67,2.1600013e-09,90,7.1052000253,137
68,8.2300069e-09,90,7.1052000253,137
69,2.3500019e-08,90,7.1052000253,137
70,5.1900049e-08,90,7.1052000253,137
71,1.270001e-07,90,7.1052000253,137
72,5.6800053e-07,90,7.1052000253,137
73,9.3700079e-07,90,7.1052000253,137
74,2.6500019e-06,90,7.1052000253,137
75,7.8400065e-06,90,7.1052000253,137
76,2.256002e-05,90,7.1052000253,137
77,0.00010891009,90,7.1052000253,137
78,0.00037246035,90,7.1052000253,137
79,0.0064354153,90,7.1052000253,137
80,0.018832846,90,7.1052000253,137
81,0.034850106,90,7.1052000253,137
82,0.048838724,90,7.1052000253,137
83,0.056532615,90,7.1052000253,137
84,0.061494202,90,7.1052000253,137
85,0.067226636,90,7.1052000253,137
86,0.070849593,90,7.1052000253,137
87,0.070381369,90,7.1052000253,137
88,0.070831742,90,7.1052000253,137
89,0.075886211,90,7.1052000253,137
90,0.076829632,90,7.1052000253,137
91,0.061670894,90,7.1052000253,137
92,0.047402919,90,7.1052000253,137
93,0.043737805,90,7.1052000253,137
94,0.036644775,90,7.1052000253,137
95,0.033824331,90,7.1052000253,137
96,0.02613813,90,7.1052000253,137
97,0.023824418,90,7.1052000253,137
98,0.013668093,90,7.1052000253,137
99,0.014328555,90,7.1052000253,137
100,0.0093664174,90,7.1052000253,137
101,0.0074931266,90,7.1052000253,137
102,0.0058172546,90,7.1052000253,137
103,0.0057018854,90,7.1052000253,137
104,0.0031419722,90,7.1052000253,137
105,0.0027677027,90,7.1052000253,137
106,0.0017312812,90,7.1052000253,137
107,0.00094091087,90,7.1052000253,137
108,0.00053909045,90,7.1052000253,137
109,0.00033753029,90,7.1052000253,137
110,0.00035284025,90,7.1052000253,137
111,0.00040989035,90,7.1052000253,137
112,0.00028713026,90,7.1052000253,137
113,0.00036696024,90,7.1052000253,137
114,0.00030304021,90,7.1052000253,137
115,0.0003021502,90,7.1052000253,137
116,0.00032324032,90,7.1052000253,137
117,0.00038272027,90,7.1052000253,137
118,0.00047476033,90,7.1052000253,137
119,0.00063451056,90,7.1052000253,137
120,0.00083840071,90,7.1052000253,137
121,0.001135961,90,7.1052000253,137
122,0.001091421,90,7.1052000253,137
123,0.0022121619,90,7.1052000253,137
124,0.0031372021,90,7.1052000253,137
125,0.0050006742,90,7.1052000253,137
126,0.0056914945,90,7.1052000253,137
127,0.0067310862,90,7.1052000253,137
128,0.0092660874,90,7.1052000253,137
129,0.014283282,90,7.1052000253,137
130,0.018640506,90,7.1052000253,137
131,0.026263377,90,7.1052000253,137
132,0.033886487,90,7.1052000253,137
133,0.048390805,90,7.1052000253,137
134,0.05729395,90,7.1052000253,137
135,0.0677669,90,7.1052000253,137
136,0.076661776,90,7.1052000253,137
137,0.069669246,90,7.1052000253,137
138,0.072485793,90,7.1052000253,137
139,0.075481503,90,7.1052000253,137
140,0.077496197,90,7.1052000253,137
141,0.076406154,90,7.1052000253,137
142,0.074489292,90,7.1052000253,137
143,0.069891406,90,7.1052000253,137
144,0.059662291,90,7.1052000253,137
145,0.031056348,90,7.1052000253,137
146,0.010373699,90,7.1052000253,137
147,0.0018339313,90,7.1052000253,137
148,0.0003131403,90,7.1052000253,137
149,0.00010101008,90,7.1052000253,137
150,2.0210016e-05,90,7.1052000253,137
151,5.0500042e-06,90,7.1052000253,137
152,2.0200014e-06,90,7.1052000253,137
153,1.0100009e-06,90,7.1052000253,137
154,4.0400034e-07,90,7.1052000253,137
155,1.0100009e-07,90,7.1052000253,137
156,5.050004e-08,90,7.1052000253,137
157,1.5200012e-08,90,7.1052000253,137
158,5.7600053e-09,90,7.1052000253,137
159,2.0200008e-09,90,7.1052000253,137
160,1.0100006e-10,90,7.1052000253,137
161,6.0600083e-11,90,7.1052000253,137
162,3.0300024e-11,90,7.1052000253,137
163,1.0100013e-11,90,7.1052000253,137
164,6.0600016e-12,90,7.1052000253,137
165,3.0200028e-12,90,7.1052000253,137
166,1.0100014e-12,90,7.1052000253,137
167,6.0599981e-13,90,7.1052000253,137
168,3.0300047e-13,90,7.1052000253,137
169,1.0100004e-13,90,7.1052000253,137
170,6.0600024e-14,90,7.1052000253,137
171,3.0200047e-14,90,7.1052000253,137
172,1.1100009e-14,90,7.1052000253,137
